Index,Name,Info,ActorIndex,SkillGroup,TargetGroup,Power,AfterBuffIndex,Accurate,Speed,RscCode
1,정권,주먹으로 가격하는 정통파 공격기술로 그만큼 안정감이 좋다,1,1,1,5,0,10000,1,Icon_Skill_Punch
2,돌려차기,파워를 중시하는 동작 큰 차기공격. 틈이 많은 게 흠,1,1,1,5,0,10000,1,Icon_Skill_Kick
3,던지기,붙잡아 던지는 기술로 대미지는 꽤 크지만 명중률은 떨어진다,1,1,1,5,0,10000,1,Icon_Skill_Punch
4,다리후리기,서 있는 적을 넘어트리는 기술로 공중의 적은 효과 없음,1,1,1,5,0,10000,1,Icon_Skill_Kick
5,호격권,기 모아 사용하는 강력한 펀치공격. 명중률이 높다,1,2,1,5,0,10000,0,Icon_Skill_Punch
6,맹호비상각,잽싸게 점프해서 그대로 차기공격. 명중률은 낮은 편,1,2,1,5,0,10000,0,Icon_Skill_Kick
7,폭전축,공중에서 호를 그리며 회전차기. 틈은 많지만 효과적인 대공기,1,2,1,5,0,10000,0,Icon_Skill_Kick
8,맹호스페셜,"때리고, 차고! 노도와 같은 연속 공격기",1,2,1,5,0,10000,0,Icon_Skill_Punch
9,비기 맹호광참파,신성한 빛의 검으로 악을 멸하는 기술. 파괴력이 강력하다,1,2,1,5,0,10000,0,Icon_Skill_Punch
10,맹호난무,잽싸게 여러번 적 전체를 공격해 충격을 주는 기술,1,3,4,5,0,10000,0,Icon_Skill_Punch
11,맹호의 울부짖음,우렁찬 소리로 위협해 주눅시키는 전체 공격기. 동물에게 효과가 크다,1,3,4,5,0,10000,0,Icon_Skill_Punch
12,호포권,기를 모은 뢰격탄을 적 전체에게 공격! 공격 속도는 느리다.,1,3,4,5,0,10000,0,Icon_Skill_Punch
13,맹호룬룬권,가벼운 스텝으로 가뿐히 적 전체에게 큰 대미지를 줌,1,3,4,5,0,10000,0,Icon_Skill_Kick
14,비기 맹호유성각,계속 별똥별을 뿌리고 연속으로 날아 차는 기술,1,3,4,5,0,10000,0,Icon_Skill_Kick
